"number" "anime_name_english" "anime_name_japanese" "rating" "favorite_count" "user_count" "airing_start" "year" "month" "day" "airing_end" "popularity_rank" "rating_rank" "age_rating" "age_rating_Guide" "total_episode" "total_length" "Genres" "Categories"
44088 "hololive-alternative-teaser-pv" "『ホロライブ・オルタナティブ』 ティザーPV" 77.64 0 0 "2021-02-17" 2021 2 17 "2021-02-17" 17656 1043 "G" NA 1 1 "" "Idol/Music/Fantasy/Action/Dragon/Fantasy World/Elf"
43599 "hanma-baki-son-of-ogre" "範馬刃牙 SON OF OGRE" 77.64 0 110 "2021-09-30" 2021 9 30 "2021-09-30" 10644 1040 "R" NA 12 0 "" "Action/Martial Arts/Combat/Violence"
44338 "natsume-yuujinchou-ishi-okoshi-to-ayashiki-raihousha" "夏目友人帳 石起こしと怪しき来訪者" 77.61 0 0 "2021-01-16" 2021 1 16 "2021-01-16" 17508 1050 "PG" "Teens 13 or older" 1 55 "" "Shoujo/Drama/Demon/Supernatural/Slice of Life/Fantasy"
44497 "seitokai-yakuindomo-movie-2" "劇場版 生徒会役員共 2" 77.57 0 0 "2021-01-01" 2021 1 1 "2021-01-01" 18298 1062 "R" "violence & profanity" 1 80 "" "Slice of Life/Shounen/Comedy/School Life/Ecchi/High School/Japan/Slapstick/Friendship"
43731 "kaguya-sama-wa-kokurasetai-tensai-tachi-no-renai-zunousen-ova" "かぐや様は告らせたい ～天才たちの恋愛頭脳戦～ OVA" 77.57 2 275 "2021-05-19" 2021 5 19 "2021-05-19" 8023 1064 "PG" NA 1 -48 "" "Student Government/Romance/Comedy/Seinen/School Life/High School/School Clubs/Psychological"
42338 "ten-count" "テンカウント" 77.49 18 1972 "2021-12-31" 2021 12 31 NA 3545 1090 "G" NA NA 0 "" "Shounen Ai/Romance/Drama"
41254 "princess-principal-crown-handler-one" "プリンセス・プリンシパル Crown Handler" 77.2 5 2859 "2021-02-11" 2021 2 11 "2021-02-11" 2884 1166 "R" "Violence, Profanity" 1 0 "Mystery/Historical/Action" "Action/Steampunk/United Kingdom/Alternative Past/Special Squads/Mystery/Historical"
44035 "shinigami-bocchan-to-kuro-maid" "死神坊ちゃんと黒メイド" 77.13 0 0 "2021-07-04" 2021 7 4 "2021-09-19" 18006 1184 "PG" "Teens 13 or older" 12 288 "" "Comedy/Drama/Romance/Maid/Supernatural/Ecchi/Mystery/Magic"
44526 "tokyo-revengers-chibi-reve" "ちびりべ" 77.06 0 0 "2021-04-12" 2021 4 12 "2021-09-20" 17830 1197 "G" NA 24 -6 "" "Comedy"
43238 "otome-game-no-hametsu-flag-shika-nai-akuyaku-reijou-ni-tensei-shiteshimatta-season-2" "乙女ゲームの破滅フラグしかない悪役令嬢に転生してしまった…Ｘ" 77.02 1 611 "2021-07-02" 2021 7 2 "2021-09-18" 5845 1209 "PG" "Teens 13 or older" 12 276 "" "Comedy/Fantasy/Fantasy World/Isekai/Magic/Josei/Drama/Romance/School Life"
44432 "saihate-no-paladin" "最果てのパラディン" 77.01 0 0 "2021-10-09" 2021 10 9 NA 18412 1214 "PG" NA 12 0 "" "Fantasy/Adventure/Psychological/Action/Mystery/Isekai"
43850 "pui-pui-molcar" "PUI PUI モルカー" 76.95 1 51 "2021-01-05" 2021 1 5 "2021-03-23" 12867 1231 "G" "All Ages" 12 32 "" "Kids/Comedy/Anthropomorphism/Parody"
45065 "heike-monogatari" "平家物語" 76.79 0 0 "2021-09-16" 2021 9 16 NA 18528 1272 "PG" NA 11 0 "" "Historical"
43167 "hataraku-saibou-black-tv" "はたらく細胞BLACK" 76.77 2 2650 "2021-01-10" 2021 1 10 "2021-03-19" 3027 1278 "PG" "Teens 13 or older" 13 NA "" "Action/Seinen/Drama/Dystopia/Science Fiction/Working Life/Comedy/Violence"
42922 "kemono-jihen" "怪物事変" 76.73 8 2375 "2021-01-10" 2021 1 10 "2021-03-28" 3211 1286 "PG" "Teens 13 or older" 12 276 "" "Demon/Shounen/Action/Mystery/Supernatural/Dark Fantasy/Detective/Juujin"
44106 "mashiro-no-oto" "ましろのおと" 76.73 0 0 "2021-04-03" 2021 4 3 "2021-06-19" 17771 1289 "PG" NA 12 0 "" "Music/Drama/School Life/School Clubs/Performance"
44434 "isekai-shokudou-2" "異世界食堂 2" 76.52 0 0 "2021-10-02" 2021 10 2 NA 18299 1353 "PG" NA 12 0 "" "Mystery/Cooking/Comedy/Fantasy/Fantasy World"
44779 "yojo-senki-sabaku-no-pasuta-sakusen" "幼女戦記：砂漠のパスタ作戦" 76.49 0 0 "2021-06-19" 2021 6 19 "2021-06-19" 18479 1366 "R" "17+ (Violence & Profanity)" 1 NA "" "Action/Military/Magic/War/Alternative Past/Europe"
44301 "obey-me" "おべいみー" 76.48 0 0 "2021-07-16" 2021 7 16 NA 17722 1370 "R" NA NA 0 "" "Fantasy/Demon/Shoujo/Comedy/Romance/Supernatural/Reverse Harem"
43804 "star-wars-visions" "スター・ウォーズ：ビジョンズ" 76.47 0 6 "2021-09-22" 2021 9 22 "2021-09-22" 16951 1374 "PG" NA 9 0 "" "Science Fiction/Fantasy/Space/Action/Robot"
44326 "kobayashi-san-chi-no-maidragon-s-mini-dra" "小林さんちのメイドラゴンＳミニドラ" 76.46 0 0 "2021-04-07" 2021 4 7 "2021-09-09" 18383 1376 "PG" "Teens 13 and older" 16 27 "" "Slice of Life/Dragon/Comedy/Fantasy/Maid"
